"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 21 06:31:27 GMT 2024","Wed Aug 21 06:31:28 GMT 2024","983","","main.spec.ts","","","","Products List",""
"passed","Wed Aug 21 06:31:02 GMT 2024","Wed Aug 21 06:31:07 GMT 2024","5312","","main.spec.ts","","","","Plugin Update",""
"passed","Wed Aug 21 06:32:01 GMT 2024","Wed Aug 21 06:32:04 GMT 2024","3654","","main.spec.ts","","","","FastSpring Integration",""
"passed","Wed Aug 21 06:31:11 GMT 2024","Wed Aug 21 06:31:13 GMT 2024","2449","","main.spec.ts","","","","Premium Theme Create",""
"passed","Wed Aug 21 06:31:43 GMT 2024","Wed Aug 21 06:31:45 GMT 2024","2130","","main.spec.ts","","","","License Key",""
"passed","Wed Aug 21 06:30:53 GMT 2024","Wed Aug 21 06:30:55 GMT 2024","1173","","main.spec.ts","","","","Login",""
"passed","Wed Aug 21 06:32:04 GMT 2024","Wed Aug 21 06:32:17 GMT 2024","12480","","main.spec.ts","","","","Prodcut Delete",""
"passed","Wed Aug 21 06:31:38 GMT 2024","Wed Aug 21 06:31:41 GMT 2024","2416","","main.spec.ts","","","","Order Create",""
"passed","Wed Aug 21 06:31:24 GMT 2024","Wed Aug 21 06:31:27 GMT 2024","3482","","main.spec.ts","","","","Bundle Create",""
"passed","Wed Aug 21 06:31:08 GMT 2024","Wed Aug 21 06:31:09 GMT 2024","1021","","main.spec.ts","","","","Get all the Themes List",""
"passed","Wed Aug 21 06:31:45 GMT 2024","Wed Aug 21 06:31:47 GMT 2024","2158","","main.spec.ts","","","","License Activation",""
"passed","Wed Aug 21 06:31:37 GMT 2024","Wed Aug 21 06:31:38 GMT 2024","1029","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Wed Aug 21 06:30:55 GMT 2024","Wed Aug 21 06:30:56 GMT 2024","1086","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Wed Aug 21 06:31:34 GMT 2024","Wed Aug 21 06:31:37 GMT 2024","3320","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Wed Aug 21 06:31:07 GMT 2024","Wed Aug 21 06:31:08 GMT 2024","1093","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Wed Aug 21 06:30:59 GMT 2024","Wed Aug 21 06:31:02 GMT 2024","2579","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Wed Aug 21 06:31:13 GMT 2024","Wed Aug 21 06:31:18 GMT 2024","5007","","main.spec.ts","","","","Theme Update",""
"passed","Wed Aug 21 06:31:58 GMT 2024","Wed Aug 21 06:32:01 GMT 2024","2436","","main.spec.ts","","","","weMail Integration",""
"passed","Wed Aug 21 06:31:28 GMT 2024","Wed Aug 21 06:31:30 GMT 2024","2228","","main.spec.ts","","","","Products Hash",""
"passed","Wed Aug 21 06:31:41 GMT 2024","Wed Aug 21 06:31:43 GMT 2024","2071","","main.spec.ts","","","","Order Details",""
"passed","Wed Aug 21 06:30:57 GMT 2024","Wed Aug 21 06:30:59 GMT 2024","2622","","main.spec.ts","","","","Free Plugin Create",""
"passed","Wed Aug 21 06:31:09 GMT 2024","Wed Aug 21 06:31:11 GMT 2024","1370","","main.spec.ts","","","","Free Theme Create",""
"passed","Wed Aug 21 06:31:47 GMT 2024","Wed Aug 21 06:31:58 GMT 2024","11116","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Wed Aug 21 06:30:56 GMT 2024","Wed Aug 21 06:30:57 GMT 2024","1013","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Wed Aug 21 06:31:18 GMT 2024","Wed Aug 21 06:31:24 GMT 2024","5653","","main.spec.ts","","","","Release Create",""
"passed","Wed Aug 21 06:31:30 GMT 2024","Wed Aug 21 06:31:34 GMT 2024","3364","","main.spec.ts","","","","License Mapping",""
